week_period,week_start,week_end,official_holiday_days
1995-03-13/1995-03-19,1995-03-13,1995-03-19,0
1995-03-20/1995-03-26,1995-03-20,1995-03-26,6
1995-03-27/1995-04-02,1995-03-27,1995-04-02,2
1995-04-03/1995-04-09,1995-04-03,1995-04-09,0
1995-04-10/1995-04-16,1995-04-10,1995-04-16,0
1995-04-17/1995-04-23,1995-04-17,1995-04-23,0
1995-04-24/1995-04-30,1995-04-24,1995-04-30,0
1995-05-01/1995-05-07,1995-05-01,1995-05-07,0
1995-05-08/1995-05-14,1995-05-08,1995-05-14,1
1995-05-15/1995-05-21,1995-05-15,1995-05-21,1
1995-05-22/1995-05-28,1995-05-22,1995-05-28,0
1995-05-29/1995-06-04,1995-05-29,1995-06-04,1
1995-06-05/1995-06-11,1995-06-05,1995-06-11,3
1995-06-12/1995-06-18,1995-06-12,1995-06-18,0
1995-06-19/1995-06-25,1995-06-19,1995-06-25,0
1995-06-26/1995-07-02,1995-06-26,1995-07-02,0
1995-07-03/1995-07-09,1995-07-03,1995-07-09,0
1995-07-10/1995-07-16,1995-07-10,1995-07-16,0
1995-07-17/1995-07-23,1995-07-17,1995-07-23,1
1995-07-24/1995-07-30,1995-07-24,1995-07-30,2
1995-07-31/1995-08-06,1995-07-31,1995-08-06,1
1995-08-07/1995-08-13,1995-08-07,1995-08-13,0
1995-08-14/1995-08-20,1995-08-14,1995-08-20,1
1995-08-21/1995-08-27,1995-08-21,1995-08-27,0
1995-08-28/1995-09-03,1995-08-28,1995-09-03,0
1995-09-04/1995-09-10,1995-09-04,1995-09-10,0
1995-09-11/1995-09-17,1995-09-11,1995-09-17,0
1995-09-18/1995-09-24,1995-09-18,1995-09-24,0
1995-09-25/1995-10-01,1995-09-25,1995-10-01,0
1995-10-02/1995-10-08,1995-10-02,1995-10-08,0
1995-10-09/1995-10-15,1995-10-09,1995-10-15,0
1995-10-16/1995-10-22,1995-10-16,1995-10-22,0
1995-10-23/1995-10-29,1995-10-23,1995-10-29,1
1995-10-30/1995-11-05,1995-10-30,1995-11-05,0
1995-11-06/1995-11-12,1995-11-06,1995-11-12,0
1995-11-13/1995-11-19,1995-11-13,1995-11-19,0
1995-11-20/1995-11-26,1995-11-20,1995-11-26,0
1995-11-27/1995-12-03,1995-11-27,1995-12-03,0
1995-12-04/1995-12-10,1995-12-04,1995-12-10,1
1995-12-11/1995-12-17,1995-12-11,1995-12-17,0
1995-12-18/1995-12-24,1995-12-18,1995-12-24,1
1995-12-25/1995-12-31,1995-12-25,1995-12-31,0
1996-01-01/1996-01-07,1996-01-01,1996-01-07,1
1996-01-08/1996-01-14,1996-01-08,1996-01-14,0
1996-01-15/1996-01-21,1996-01-15,1996-01-21,0
1996-01-22/1996-01-28,1996-01-22,1996-01-28,0
1996-01-29/1996-02-04,1996-01-29,1996-02-04,0
1996-02-05/1996-02-11,1996-02-05,1996-02-11,1
1996-02-12/1996-02-18,1996-02-12,1996-02-18,0
1996-02-19/1996-02-25,1996-02-19,1996-02-25,1
1996-02-26/1996-03-03,1996-02-26,1996-03-03,0
1996-03-04/1996-03-10,1996-03-04,1996-03-10,0
1996-03-11/1996-03-17,1996-03-11,1996-03-17,1
1996-03-18/1996-03-24,1996-03-18,1996-03-24,5
1996-03-25/1996-03-31,1996-03-25,1996-03-31,1
1996-04-01/1996-04-07,1996-04-01,1996-04-07,1
1996-04-08/1996-04-14,1996-04-08,1996-04-14,0
1996-04-15/1996-04-21,1996-04-15,1996-04-21,0
1996-04-22/1996-04-28,1996-04-22,1996-04-28,0
1996-04-29/1996-05-05,1996-04-29,1996-05-05,1
1996-05-06/1996-05-12,1996-05-06,1996-05-12,1
1996-05-13/1996-05-19,1996-05-13,1996-05-19,0
1996-05-20/1996-05-26,1996-05-20,1996-05-26,0
1996-05-27/1996-06-02,1996-05-27,1996-06-02,2
1996-06-03/1996-06-09,1996-06-03,1996-06-09,2
1996-06-10/1996-06-16,1996-06-10,1996-06-16,0
1996-06-17/1996-06-23,1996-06-17,1996-06-23,0
1996-06-24/1996-06-30,1996-06-24,1996-06-30,0
1996-07-01/1996-07-07,1996-07-01,1996-07-07,1
1996-07-08/1996-07-14,1996-07-08,1996-07-14,0
1996-07-15/1996-07-21,1996-07-15,1996-07-21,2
1996-07-22/1996-07-28,1996-07-22,1996-07-28,1
1996-07-29/1996-08-04,1996-07-29,1996-08-04,1
1996-08-05/1996-08-11,1996-08-05,1996-08-11,0
1996-08-12/1996-08-18,1996-08-12,1996-08-18,0
1996-08-19/1996-08-25,1996-08-19,1996-08-25,0
1996-08-26/1996-09-01,1996-08-26,1996-09-01,0
1996-09-02/1996-09-08,1996-09-02,1996-09-08,0
1996-09-09/1996-09-15,1996-09-09,1996-09-15,0
1996-09-16/1996-09-22,1996-09-16,1996-09-22,0
1996-09-23/1996-09-29,1996-09-23,1996-09-29,0
1996-09-30/1996-10-06,1996-09-30,1996-10-06,0
1996-10-07/1996-10-13,1996-10-07,1996-10-13,0
1996-10-14/1996-10-20,1996-10-14,1996-10-20,1
1996-10-21/1996-10-27,1996-10-21,1996-10-27,0
1996-10-28/1996-11-03,1996-10-28,1996-11-03,0
1996-11-04/1996-11-10,1996-11-04,1996-11-10,0
1996-11-11/1996-11-17,1996-11-11,1996-11-17,0
1996-11-18/1996-11-24,1996-11-18,1996-11-24,0
1996-11-25/1996-12-01,1996-11-25,1996-12-01,1
1996-12-02/1996-12-08,1996-12-02,1996-12-08,0
1996-12-09/1996-12-15,1996-12-09,1996-12-15,1
1996-12-16/1996-12-22,1996-12-16,1996-12-22,0
1996-12-23/1996-12-29,1996-12-23,1996-12-29,1
1996-12-30/1997-01-05,1996-12-30,1997-01-05,0
1997-01-06/1997-01-12,1997-01-06,1997-01-12,0
1997-01-13/1997-01-19,1997-01-13,1997-01-19,0
1997-01-20/1997-01-26,1997-01-20,1997-01-26,0
1997-01-27/1997-02-02,1997-01-27,1997-02-02,1
1997-02-03/1997-02-09,1997-02-03,1997-02-09,1
1997-02-10/1997-02-16,1997-02-10,1997-02-16,1
1997-02-17/1997-02-23,1997-02-17,1997-02-23,0
1997-02-24/1997-03-02,1997-02-24,1997-03-02,0
1997-03-03/1997-03-09,1997-03-03,1997-03-09,1
1997-03-10/1997-03-16,1997-03-10,1997-03-16,0
1997-03-17/1997-03-23,1997-03-17,1997-03-23,5
1997-03-24/1997-03-30,1997-03-24,1997-03-30,1
1997-03-31/1997-04-06,1997-03-31,1997-04-06,2
1997-04-07/1997-04-13,1997-04-07,1997-04-13,0
1997-04-14/1997-04-20,1997-04-14,1997-04-20,1
1997-04-21/1997-04-27,1997-04-21,1997-04-27,1
1997-04-28/1997-05-04,1997-04-28,1997-05-04,0
1997-05-05/1997-05-11,1997-05-05,1997-05-11,0
1997-05-12/1997-05-18,1997-05-12,1997-05-18,2
1997-05-19/1997-05-25,1997-05-19,1997-05-25,0
1997-05-26/1997-06-01,1997-05-26,1997-06-01,0
1997-06-02/1997-06-08,1997-06-02,1997-06-08,2
1997-06-09/1997-06-15,1997-06-09,1997-06-15,0
1997-06-16/1997-06-22,1997-06-16,1997-06-22,0
1997-06-23/1997-06-29,1997-06-23,1997-06-29,1
1997-06-30/1997-07-06,1997-06-30,1997-07-06,2
1997-07-07/1997-07-13,1997-07-07,1997-07-13,0
1997-07-14/1997-07-20,1997-07-14,1997-07-20,1
1997-07-21/1997-07-27,1997-07-21,1997-07-27,1
1997-07-28/1997-08-03,1997-07-28,1997-08-03,0
1997-08-04/1997-08-10,1997-08-04,1997-08-10,0
1997-08-11/1997-08-17,1997-08-11,1997-08-17,0
1997-08-18/1997-08-24,1997-08-18,1997-08-24,0
1997-08-25/1997-08-31,1997-08-25,1997-08-31,0
1997-09-01/1997-09-07,1997-09-01,1997-09-07,0
1997-09-08/1997-09-14,1997-09-08,1997-09-14,0
1997-09-15/1997-09-21,1997-09-15,1997-09-21,0
1997-09-22/1997-09-28,1997-09-22,1997-09-28,0
1997-09-29/1997-10-05,1997-09-29,1997-10-05,0
1997-10-06/1997-10-12,1997-10-06,1997-10-12,1
1997-10-13/1997-10-19,1997-10-13,1997-10-19,0
1997-10-20/1997-10-26,1997-10-20,1997-10-26,0
1997-10-27/1997-11-02,1997-10-27,1997-11-02,0
1997-11-03/1997-11-09,1997-11-03,1997-11-09,0
1997-11-10/1997-11-16,1997-11-10,1997-11-16,1
1997-11-17/1997-11-23,1997-11-17,1997-11-23,0
1997-11-24/1997-11-30,1997-11-24,1997-11-30,1
1997-12-01/1997-12-07,1997-12-01,1997-12-07,0
1997-12-08/1997-12-14,1997-12-08,1997-12-14,0
1997-12-15/1997-12-21,1997-12-15,1997-12-21,1
1997-12-22/1997-12-28,1997-12-22,1997-12-28,0
1997-12-29/1998-01-04,1997-12-29,1998-01-04,0
1998-01-05/1998-01-11,1998-01-05,1998-01-11,0
1998-01-12/1998-01-18,1998-01-12,1998-01-18,0
1998-01-19/1998-01-25,1998-01-19,1998-01-25,1
1998-01-26/1998-02-01,1998-01-26,1998-02-01,1
1998-02-02/1998-02-08,1998-02-02,1998-02-08,0
1998-02-09/1998-02-15,1998-02-09,1998-02-15,1
1998-02-16/1998-02-22,1998-02-16,1998-02-22,1
1998-02-23/1998-03-01,1998-02-23,1998-03-01,0
1998-03-02/1998-03-08,1998-03-02,1998-03-08,0
1998-03-09/1998-03-15,1998-03-09,1998-03-15,0
1998-03-16/1998-03-22,1998-03-16,1998-03-22,3
1998-03-23/1998-03-29,1998-03-23,1998-03-29,2
1998-03-30/1998-04-05,1998-03-30,1998-04-05,2
1998-04-06/1998-04-12,1998-04-06,1998-04-12,1
1998-04-13/1998-04-19,1998-04-13,1998-04-19,1
1998-04-20/1998-04-26,1998-04-20,1998-04-26,0
1998-04-27/1998-05-03,1998-04-27,1998-05-03,0
1998-05-04/1998-05-10,1998-05-04,1998-05-10,2
1998-05-11/1998-05-17,1998-05-11,1998-05-17,0
1998-05-18/1998-05-24,1998-05-18,1998-05-24,0
1998-05-25/1998-05-31,1998-05-25,1998-05-31,0
1998-06-01/1998-06-07,1998-06-01,1998-06-07,2
1998-06-08/1998-06-14,1998-06-08,1998-06-14,0
1998-06-15/1998-06-21,1998-06-15,1998-06-21,1
1998-06-22/1998-06-28,1998-06-22,1998-06-28,2
1998-06-29/1998-07-05,1998-06-29,1998-07-05,1
1998-07-06/1998-07-12,1998-07-06,1998-07-12,1
1998-07-13/1998-07-19,1998-07-13,1998-07-19,0
1998-07-20/1998-07-26,1998-07-20,1998-07-26,0
1998-07-27/1998-08-02,1998-07-27,1998-08-02,0
1998-08-03/1998-08-09,1998-08-03,1998-08-09,0
1998-08-10/1998-08-16,1998-08-10,1998-08-16,0
1998-08-17/1998-08-23,1998-08-17,1998-08-23,0
1998-08-24/1998-08-30,1998-08-24,1998-08-30,0
1998-08-31/1998-09-06,1998-08-31,1998-09-06,0
1998-09-07/1998-09-13,1998-09-07,1998-09-13,0
1998-09-14/1998-09-20,1998-09-14,1998-09-20,0
1998-09-21/1998-09-27,1998-09-21,1998-09-27,1
1998-09-28/1998-10-04,1998-09-28,1998-10-04,0
1998-10-05/1998-10-11,1998-10-05,1998-10-11,0
1998-10-12/1998-10-18,1998-10-12,1998-10-18,0
1998-10-19/1998-10-25,1998-10-19,1998-10-25,0
1998-10-26/1998-11-01,1998-10-26,1998-11-01,0
1998-11-02/1998-11-08,1998-11-02,1998-11-08,1
1998-11-09/1998-11-15,1998-11-09,1998-11-15,0
1998-11-16/1998-11-22,1998-11-16,1998-11-22,1
1998-11-23/1998-11-29,1998-11-23,1998-11-29,0
1998-11-30/1998-12-06,1998-11-30,1998-12-06,1
1998-12-07/1998-12-13,1998-12-07,1998-12-13,0
1998-12-14/1998-12-20,1998-12-14,1998-12-20,0
1998-12-21/1998-12-27,1998-12-21,1998-12-27,0
1998-12-28/1999-01-03,1998-12-28,1999-01-03,0
1999-01-04/1999-01-10,1999-01-04,1999-01-10,1
1999-01-11/1999-01-17,1999-01-11,1999-01-17,0
1999-01-18/1999-01-24,1999-01-18,1999-01-24,1
1999-01-25/1999-01-31,1999-01-25,1999-01-31,0
1999-02-01/1999-02-07,1999-02-01,1999-02-07,0
1999-02-08/1999-02-14,1999-02-08,1999-02-14,1
1999-02-15/1999-02-21,1999-02-15,1999-02-21,0
1999-02-22/1999-02-28,1999-02-22,1999-02-28,0
1999-03-01/1999-03-07,1999-03-01,1999-03-07,0
1999-03-08/1999-03-14,1999-03-08,1999-03-14,0
1999-03-15/1999-03-21,1999-03-15,1999-03-21,2
1999-03-22/1999-03-28,1999-03-22,1999-03-28,4
1999-03-29/1999-04-04,1999-03-29,1999-04-04,2
1999-04-05/1999-04-11,1999-04-05,1999-04-11,1
1999-04-12/1999-04-18,1999-04-12,1999-04-18,0
1999-04-19/1999-04-25,1999-04-19,1999-04-25,0
1999-04-26/1999-05-02,1999-04-26,1999-05-02,2
1999-05-03/1999-05-09,1999-05-03,1999-05-09,0
1999-05-10/1999-05-16,1999-05-10,1999-05-16,0
1999-05-17/1999-05-23,1999-05-17,1999-05-23,0
1999-05-24/1999-05-30,1999-05-24,1999-05-30,0
1999-05-31/1999-06-06,1999-05-31,1999-06-06,2
1999-06-07/1999-06-13,1999-06-07,1999-06-13,1
1999-06-14/1999-06-20,1999-06-14,1999-06-20,1
1999-06-21/1999-06-27,1999-06-21,1999-06-27,1
1999-06-28/1999-07-04,1999-06-28,1999-07-04,1
1999-07-05/1999-07-11,1999-07-05,1999-07-11,0
1999-07-12/1999-07-18,1999-07-12,1999-07-18,0
1999-07-19/1999-07-25,1999-07-19,1999-07-25,0
1999-07-26/1999-08-01,1999-07-26,1999-08-01,0
1999-08-02/1999-08-08,1999-08-02,1999-08-08,0
1999-08-09/1999-08-15,1999-08-09,1999-08-15,0
1999-08-16/1999-08-22,1999-08-16,1999-08-22,0
1999-08-23/1999-08-29,1999-08-23,1999-08-29,0
1999-08-30/1999-09-05,1999-08-30,1999-09-05,0
1999-09-06/1999-09-12,1999-09-06,1999-09-12,0
1999-09-13/1999-09-19,1999-09-13,1999-09-19,1
1999-09-20/1999-09-26,1999-09-20,1999-09-26,0
1999-09-27/1999-10-03,1999-09-27,1999-10-03,0
1999-10-04/1999-10-10,1999-10-04,1999-10-10,0
1999-10-11/1999-10-17,1999-10-11,1999-10-17,0
1999-10-18/1999-10-24,1999-10-18,1999-10-24,1
1999-10-25/1999-10-31,1999-10-25,1999-10-31,0
1999-11-01/1999-11-07,1999-11-01,1999-11-07,1
1999-11-08/1999-11-14,1999-11-08,1999-11-14,0
1999-11-15/1999-11-21,1999-11-15,1999-11-21,0
1999-11-22/1999-11-28,1999-11-22,1999-11-28,1
1999-11-29/1999-12-05,1999-11-29,1999-12-05,0
1999-12-06/1999-12-12,1999-12-06,1999-12-12,0
1999-12-13/1999-12-19,1999-12-13,1999-12-19,0
1999-12-20/1999-12-26,1999-12-20,1999-12-26,0
1999-12-27/2000-01-02,1999-12-27,2000-01-02,1
2000-01-03/2000-01-09,2000-01-03,2000-01-09,1
2000-01-10/2000-01-16,2000-01-10,2000-01-16,0
2000-01-17/2000-01-23,2000-01-17,2000-01-23,0
2000-01-24/2000-01-30,2000-01-24,2000-01-30,0
2000-01-31/2000-02-06,2000-01-31,2000-02-06,1
2000-02-07/2000-02-13,2000-02-07,2000-02-13,1
